,x,y,Sample.ID,Field,Sample.Date,Season,mid_depth,DepthMin.cm.,DepthMax.cm.,pH,pH.CaCl,EC,ECse,Cl.ppm,NO3N.ppm,NH4N.ppm,P.Colwell.ppm,PBI,Ca.ppm,K.ppm,Mg.ppm,Na.ppm,Ca.Mg,CEC.ppm,ESP,Cu.ppm,Fe.ppm,Mn.ppm,Zn.ppm,B.ppm,S.ppm,P.BSES,Silt,Clay,Sand,TOC,EM_50,EM_100,EM_150,EM_300,gamma_k,gamma_th,gamma_u,gamma_TC,landscape_change,elevation,DEM_30,aspect,MrRTF,MrVBF,PlanCurvature,ProfileCurvature,SlopeDeg,SlopePct,SlopeRelief,TPI_class,TPI_mask,TWI,rad_dose,rad_k,rad_ratio_tk,rad_ratio_u2th,rad_ratio_uk,rad_ratio_uth,rad_th,rad_u,NDVI_5,NDVI_50,NDVI_95,RED_5,RED_50,RED_95
136,799836.5671,6763347.385,5,OD04,17/05/2020,2020,7.5,0,15,8,7,0.12,0.7,10,18,0.9,21,59,24,1,7.2,1.3,3.3,33.5,3.7,0.75,6.1,7.9,0.43,0.9,8,39,18,36,46,0.98,110.4477081,192.2790833,208.3844299,265.8019409,0.223978207,19.92379379,2.694498062,1229.726196,0.02982313,229.2270167,228,23.36801147,4.556876183,7,0.009631481,8.39E-05,0.872674942,1.523222923,11,2,0,8.452777863,24.6478138,0.241379514,27.61088181,0.110463373,3.554668427,0.128741562,6.664701462,0.85802412,0.112069368,0.162641123,0.851489544,299.5,1129.2,1924
137,799836.5671,6763347.385,5,OD04,17/05/2020,2020,22.5,15,30,8.9,7.9,0.18,1.1,10,5.8,1.2,6,53,26,0.42,7.9,2,3.3,36.5,5.4,0.67,9.9,4.9,0.17,1,11,11,11,34,54,0.68,110.4477081,192.2790833,208.3844299,265.8019409,0.223978207,19.92379379,2.694498062,1229.726196,0.02982313,229.2270167,228,23.36801147,4.556876183,7,0.009631481,8.39E-05,0.872674942,1.523222923,11,2,0,8.452777863,24.6478138,0.241379514,27.61088181,0.110463373,3.554668427,0.128741562,6.664701462,0.85802412,0.112069368,0.162641123,0.851489544,299.5,1129.2,1924
138,799836.5671,6763347.385,5,OD04,17/05/2020,2020,45,30,60,9.1,8.2,0.26,NA,10,3,1,NA,NA,30,0.33,8.4,3.3,3.6,42,7.8,NA,NA,NA,NA,NA,74,NA,10,25,65,NA,110.4477081,192.2790833,208.3844299,265.8019409,0.223978207,19.92379379,2.694498062,1229.726196,0.02982313,229.2270167,228,23.36801147,4.556876183,7,0.009631481,8.39E-05,0.872674942,1.523222923,11,2,0,8.452777863,24.6478138,0.241379514,27.61088181,0.110463373,3.554668427,0.128741562,6.664701462,0.85802412,0.112069368,0.162641123,0.851489544,299.5,1129.2,1924
139,799836.5671,6763347.385,5,OD04,17/05/2020,2020,75,60,90,7.9,7.7,2.87,NA,42,2.9,1.2,NA,NA,64,0.31,8.5,5.2,7.5,77.6,6.6,NA,NA,NA,NA,NA,2600,NA,7,25,67,NA,110.4477081,192.2790833,208.3844299,265.8019409,0.223978207,19.92379379,2.694498062,1229.726196,0.02982313,229.2270167,228,23.36801147,4.556876183,7,0.009631481,8.39E-05,0.872674942,1.523222923,11,2,0,8.452777863,24.6478138,0.241379514,27.61088181,0.110463373,3.554668427,0.128741562,6.664701462,0.85802412,0.112069368,0.162641123,0.851489544,299.5,1129.2,1924
140,797326.2583,6763243.633,6,OD04,17/05/2020,2020,7.5,0,15,8.1,7.1,0.13,0.8,12,14,0.6,7,51,28,0.74,7,1.6,4,37.1,4.3,0.6,4.3,6.5,0.14,0.9,16,11,10,48,42,0.64,135.6588287,248.1059875,253.6756897,319.5196838,0.353644073,21.66179466,2.091521025,1317.363892,0.011359227,224.3640049,225,228.6437073,4.523145676,7,-0.016895,3.47E-05,0.147557095,0.257536292,11,2,0,12.76896095,27.72430801,0.263183087,28.02747726,0.145824924,3.94075036,0.140603095,7.376358032,1.03713882,0.107227981,0.154358447,0.824095786,329,1162,1928
141,797326.2583,6763243.633,6,OD04,17/05/2020,2020,22.5,15,30,8.6,7.9,0.37,2.3,21,11,0.8,5,71,29,0.45,7.2,2.7,4,39.5,6.9,0.68,11,4.8,0.19,1,84,8,9,31,61,0.73,135.6588287,248.1059875,253.6756897,319.5196838,0.353644073,21.66179466,2.091521025,1317.363892,0.011359227,224.3640049,225,228.6437073,4.523145676,7,-0.016895,3.47E-05,0.147557095,0.257536292,11,2,0,12.76896095,27.72430801,0.263183087,28.02747726,0.145824924,3.94075036,0.140603095,7.376358032,1.03713882,0.107227981,0.154358447,0.824095786,329,1162,1928
142,797326.2583,6763243.633,6,OD04,17/05/2020,2020,45,30,60,9,8.2,0.44,NA,22,8.2,0.7,NA,NA,30,0.35,7.8,3.9,3.8,42.1,9.3,NA,NA,NA,NA,NA,92,NA,5,18,77,NA,135.6588287,248.1059875,253.6756897,319.5196838,0.353644073,21.66179466,2.091521025,1317.363892,0.011359227,224.3640049,225,228.6437073,4.523145676,7,-0.016895,3.47E-05,0.147557095,0.257536292,11,2,0,12.76896095,27.72430801,0.263183087,28.02747726,0.145824924,3.94075036,0.140603095,7.376358032,1.03713882,0.107227981,0.154358447,0.824095786,329,1162,1928
143,797326.2583,6763243.633,6,OD04,17/05/2020,2020,75,60,90,8,7.9,2.46,NA,510,5.9,1.1,NA,NA,42,0.52,9.6,7.7,4.4,59.4,13,NA,NA,NA,NA,NA,2000,NA,6,22,72,NA,135.6588287,248.1059875,253.6756897,319.5196838,0.353644073,21.66179466,2.091521025,1317.363892,0.011359227,224.3640049,225,228.6437073,4.523145676,7,-0.016895,3.47E-05,0.147557095,0.257536292,11,2,0,12.76896095,27.72430801,0.263183087,28.02747726,0.145824924,3.94075036,0.140603095,7.376358032,1.03713882,0.107227981,0.154358447,0.824095786,329,1162,1928
144,801294.7958,6762769.552,7,OD04,17/05/2020,2020,7.5,0,15,8,6.8,0.09,0.6,11,6.4,0.7,8,48,24,0.5,7.5,1.3,3.2,33.3,4,0.69,7.6,10,0.22,0.7,11,11,10,40,50,0.63,106.5461349,179.1513062,197.2578583,250.4406433,0.163956523,21.1505394,5.140748024,1409.066772,0.024965703,232.2914232,231,268.9336548,4.561195374,7,0.000484427,-2.79E-05,0.318433076,0.555776298,11,2,0,10.73924255,23.7056694,0.183661938,35.61930847,0.118100964,4.785858631,0.134361356,6.541911125,0.8789801,0.107669145,0.154046729,0.850472093,298,1096.333333,1871
145,801294.7958,6762769.552,7,OD04,17/05/2020,2020,22.5,15,30,8.6,7.3,0.09,0.6,10,4.5,1,11,68,25,0.32,8,2.3,3.1,35.5,6.4,0.64,10,5.7,0.09,0.8,5,6,18,34,48,0.68,106.5461349,179.1513062,197.2578583,250.4406433,0.163956523,21.1505394,5.140748024,1409.066772,0.024965703,232.2914232,231,268.9336548,4.561195374,7,0.000484427,-2.79E-05,0.318433076,0.555776298,11,2,0,10.73924255,23.7056694,0.183661938,35.61930847,0.118100964,4.785858631,0.134361356,6.541911125,0.8789801,0.107669145,0.154046729,0.850472093,298,1096.333333,1871
